,Fx_real,Fx_predict
0,27.775755232368805,31.69419288635254
1,38.5459636658907,37.05698013305664
2,29.431291670669548,22.985342025756836
3,26.5594335917178,27.361648559570312
4,29.498509085629575,30.47577476501465
5,17.609569269530372,19.903621673583984
6,26.716043266220645,26.639301300048828
7,31.53890889588583,30.101802825927734
8,23.306901131132346,25.467931747436523
9,24.415891808437397,23.57246208190918
10,29.476033261735484,26.506093978881836
11,24.864305197151918,34.329132080078125
12,25.152191657791075,26.93907928466797
13,27.519001332739037,31.476428985595703
14,29.339284824745434,26.016334533691406
15,24.918878473917044,29.257783889770508
16,27.518296198551067,28.680295944213867
17,28.13569602165733,30.7064266204834
18,31.416685184662718,31.921838760375977
19,19.83869810341557,21.00472640991211
20,27.901962972419568,28.72705841064453
21,24.90657072023692,33.37351989746094
22,12.505856914205314,19.719507217407227
23,37.30222146283759,34.404537200927734
24,38.48032176634322,35.37125778198242
25,27.27904363783017,27.395130157470703
26,26.472938388108297,31.963953018188477
27,21.770673713747982,30.803056716918945
28,32.77190353746341,39.66420364379883
29,32.472133416971545,29.955463409423828
30,34.971185724611,35.253604888916016
31,21.19712904463199,23.446788787841797
32,38.734297270568796,34.5238151550293
33,26.218066915017467,30.07617950439453
34,32.2777661290974,28.232818603515625
35,34.66323219548472,34.0798225402832
36,35.16455103868296,35.65283203125
37,28.34647795947968,27.890905380249023
38,28.143973915306038,32.126121520996094
39,35.1418866221307,34.56144714355469
40,25.678550550340123,29.36496925354004
41,23.749945238775684,27.292388916015625
42,21.06425765746565,24.749845504760742
43,25.467742139754066,30.060564041137695
44,25.077456408372417,38.84469985961914
45,25.206731538713,25.681610107421875
46,29.18271915613999,28.68622589111328
47,29.506412028568555,30.99207305908203
48,24.711137819230128,23.271997451782227
49,30.360704371717265,26.597938537597656
50,30.21938920416181,29.770402908325195
51,30.760790661768386,33.38043975830078
52,27.577809414393386,45.49739456176758
53,35.29272617142779,32.275047302246094
54,20.773654518245813,22.74744987487793
55,34.15786516598557,35.81965255737305
56,22.404914750921645,25.968202590942383
57,23.566464226549474,26.086063385009766
58,25.814210898219084,27.443012237548828
59,34.61095510030835,42.1222038269043
60,29.812246273540172,25.619604110717773
61,29.095157007870128,28.652050018310547
62,25.822885359094283,26.051950454711914
63,29.966638836582895,30.24212074279785
64,23.43694225839065,23.956331253051758
65,31.011008030817806,32.703269958496094
66,22.716959070122723,24.873310089111328
67,26.59876414500347,29.627857208251953
68,21.737113203827104,23.16411018371582
69,27.41615814859892,28.81734275817871
