,xPos,yPos,zPos,R,Re,phi,xForce,yForce,zForce,xTorque,yTorque,zTorque
0,2.9567486,1.16697092,8.00081384,0.5,2.0,0.2,27.775755232368805,-0.5291681802580781,-2.99520964498693,0.12383801375308504,-1.7073674299146848,1.1244381959490872
1,2.82085109,3.28866371,8.54257294,0.5,2.0,0.2,38.5459636658907,11.370487621084546,-8.075761904414263,-0.06815823923015707,-0.7646042096131064,-1.6443391355834653
2,8.54456589,5.55247814,8.62135552,0.5,2.0,0.2,29.431291670669548,7.154777871638944,-5.010294702348153,-0.5060709922790197,1.2172823913100155,-0.6437427766795605
3,2.20170551,0.77753779,3.79141868,0.5,2.0,0.2,26.5594335917178,2.668028161114524,-1.0454966881931138,-0.19580858484562064,1.6540127355537055,-0.7588721619139315
4,8.95679227,7.28648721,7.56515875,0.5,2.0,0.2,29.498509085629575,-4.572090949548981,-11.903420156389313,-0.1305370507390919,0.9398524596199235,-0.34466408225741835
5,4.60565228,3.60301779,1.86840246,0.5,2.0,0.2,17.609569269530372,3.171538594100978,-1.6382060597926884,-0.22418376439863016,0.8885049841550199,-0.6947581253923499
6,5.96884467,4.60220255,1.92467876,0.5,2.0,0.2,26.716043266220645,-1.3206981816123848,-0.5604445195906458,-0.4486302975734577,-0.47062349309491214,0.010247003008202596
7,5.01940943,3.69936409,6.66157603,0.5,2.0,0.2,31.53890889588583,0.5494782277928065,-5.741421745692553,-0.34127066000008344,-0.7995803264961251,-1.7554092851314549
8,7.87451425,1.39110615,6.77966235,0.5,2.0,0.2,23.306901131132346,-5.957791892480441,1.5766784254786452,0.26814470616528413,0.8382113912785233,-0.6386290590991914
9,4.55794831,8.25553612,8.31958412,0.5,2.0,0.2,24.415891808437397,0.6861151060576001,0.19847813499913486,0.033185932144101336,0.5159169437673151,-0.025824836181226572
10,8.12235303,3.76210648,7.19896139,0.5,2.0,0.2,29.476033261735484,-7.077911545900311,1.0603153742835403,-0.26770906699686287,-0.5279227262824955,0.2509268195786225
11,0.06810991,5.8669304,1.52567473,0.5,2.0,0.2,24.864305197151918,-1.8936395791301457,4.500746234669113,0.054039276206059056,-1.111208791144331,-0.11042762584924751
12,2.91199551,0.05180733,5.51382929,0.5,2.0,0.2,25.152191657791075,1.6410979257669522,1.1812999597093927,0.032366988368512796,-0.4804884567934077,1.5140159314911052
13,4.7243944,4.90644714,4.32209083,0.5,2.0,0.2,27.519001332739037,-4.508781845303477,-0.47060580488417186,0.2995093327153914,0.7623498503928393,0.04099369371376826
14,6.82126412,1.93273103,7.89190491,0.5,2.0,0.2,29.339284824745434,-5.614660269133129,-2.146445318140756,-0.4189950401746829,-1.64882273047649,-0.6527347688454143
15,4.38027353,2.79580805,1.13642764,0.5,2.0,0.2,24.918878473917044,-2.0979521586240524,-0.913498955814595,-0.105573729736212,-1.295760554399825,0.26055800903247567
16,3.17662802,0.11351481,1.78161206,0.5,2.0,0.2,27.518296198551067,-0.09358978080231843,5.868761819370786,0.2882226611631476,0.3582544564604604,-0.344048694857748
17,2.28244552,8.85330821,7.76416585,0.5,2.0,0.2,28.13569602165733,-3.225032192298244,3.0067469138291303,0.301064520345001,1.4330640191706123,-0.7625261861792426
18,6.88664781,5.65548841,1.34875943,0.5,2.0,0.2,31.416685184662718,-1.4876114340998339,-1.9950087799363072,-0.20679334359358761,-2.307295984029741,1.7184443566407155
19,5.69067022,2.02673893,5.08690155,0.5,2.0,0.2,19.83869810341557,2.476017504904135,9.676910401500109,-0.712438324506282,1.658558339240196,0.5729502717710008
20,3.51349785,3.53477687,2.03344572,0.5,2.0,0.2,27.901962972419568,8.111359848332071,1.9796850080486146,0.03642662297512892,0.46179206495658043,1.0402582081460021
21,1.69155796,8.25853514,1.70719539,0.5,2.0,0.2,24.90657072023692,-0.45395388360671046,-1.3729471733474374,-0.12156548592639971,0.9325692664640134,-1.3613215095954454
